sid,uid,episode,json字数,pdf字数,比率,連問,json先頭80字
endo,endo_ch08_q340,118C-74,67,964,6%,Y,HHS患者のインスリン治療とともに開始する輸液の組成で適切なのはどれか。（各選択肢はNa/K/Cl/Lactate/ブドウ糖の含有量）
endo,endo_ch08_q357,117E-43,324,949,34%,Y,連問 1/2次の文を読み、357 と358 の問いに答えよ。68 歳の男性。眼のかすみと足の違和感を主訴に来院した。現病歴：20 年前から健診で尿糖を指摘されて
endo,endo_ch08_q358,117E-44,73,934,7%,Y,高齢糖尿病患者の対応として正しいのはどれか。（蛋白制限食/強度の高い運動/1200kcal食事/SU薬による厳格管理/心身機能評価による目標設定）
endo,endo_ch08_q368,114E-47,334,675,49%,Y,連問 1/2次の文を読み、368 と369 の問いに答えよ。48 歳の男性。倦怠感と口渇を主訴に来院した。現病歴：2 年前から糖尿病を指摘されていたが医療機関を
endo,endo_ch08_q369,114E-48,317,676,46%,Y,連問 2/2次の文を読み、368 と369 の問いに答えよ。48 歳の男性。倦怠感と口渇を主訴に来院した。現病歴：2 年前から糖尿病を指摘されていたが医療機関を
endo,endo_ch08_q371,114F-63,307,606,50%,Y,連問 1/386 歳の女性。発熱を主訴に来院した。現病歴：2 日前に長男が患者に連絡した際「風邪をひいている」との訴えがあった。本日長男が連絡した際に電話がつな
endo,endo_ch08_q372,114F-64,330,641,51%,Y,連問 2/386 歳の女性。発熱を主訴に来院した。現病歴：2 日前に長男が患者に連絡した際「風邪をひいている」との訴えがあった。本日長男が連絡した際に電話がつな
endo,endo_ch08_q373,114F-65,348,729,47%,Y,連問 3/386 歳の女性。発熱を主訴に来院した。現病歴：2 日前に長男が患者に連絡した際「風邪をひいている」との訴えがあった。本日長男が連絡した際に電話がつな
endo,endo_ch08_q379,111B-50,314,926,33%,Y,連問 1/378 歳の男性。倦怠感と口渇を訴え、通院中の病院を受診した。現病歴：68 歳時に人間ドックで高血糖を指摘されて治療を開始した。3 か月ごとに定期受診
endo,endo_ch08_q380,111B-51,345,966,35%,Y,連問 2/378 歳の男性。倦怠感と口渇を訴え、通院中の病院を受診した。現病歴：68 歳時に人間ドックで高血糖を指摘されて治療を開始した。3 か月ごとに定期受診
endo,endo_ch08_q381,111B-52,339,1000,33%,Y,連問 3/378 歳の男性。倦怠感と口渇を訴え、通院中の病院を受診した。現病歴：68 歳時に人間ドックで高血糖を指摘されて治療を開始した。3 か月ごとに定期受診
endo,endo_ch08_q388,109C-27,66,408,16%,Y,意識障害のDM患者。意識レベルJCSⅠ-1。体温36.4℃。脈拍108/分整。血圧166/96mmHg。直ちに行うべき検査はどれか。
endo,endo_ch08_q402,106C-26,311,466,66%,Y,連問 1/2次の文を読み、402 と403 の問いに答えよ。88 歳の男性。意識障害のため搬入された。現病歴：元来、軽度の物忘れと難聴とがあるが、1 人で杖をつ
endo,endo_ch08_q403,106C-27,338,500,67%,Y,連問 2/2次の文を読み、402 と403 の問いに答えよ。88 歳の男性。意識障害のため搬入された。現病歴：元来、軽度の物忘れと難聴とがあるが、1 人で杖をつ
endo,endo_ch08_q411,105G-65,308,888,34%,Y,連問 1/345 歳の男性。めまい、嘔気および嘔吐を主訴に来院した。現病歴：24 歳から毎年健康診断を受けていたが、異常を指摘されたことはなかった。直近では6 
endo,endo_ch08_q412,105G-66,324,890,36%,Y,連問 2/345 歳の男性。めまい、嘔気および嘔吐を主訴に来院した。現病歴：24 歳から毎年健康診断を受けていたが、異常を指摘されたことはなかった。直近では6 
endo,endo_ch08_q413,105G-67,323,896,36%,Y,連問 3/345 歳の男性。めまい、嘔気および嘔吐を主訴に来院した。現病歴：24 歳から毎年健康診断を受けていたが、異常を指摘されたことはなかった。直近では6 
endo,endo_ch08_q415,104G-64,311,728,42%,Y,連問 1/351 歳の男性。口渇、多飲および全身倦怠感を主訴に来院した。現病歴：1 か月前から口渇が出現し、清涼飲料水を多飲している。2 週前から全身倦怠感を自
endo,endo_ch08_q416,104G-65,331,724,45%,Y,連問 2/351 歳の男性。口渇、多飲および全身倦怠感を主訴に来院した。現病歴：1 か月前から口渇が出現し、清涼飲料水を多飲している。2 週前から全身倦怠感を自
endo,endo_ch08_q417,104G-66,324,732,44%,Y,連問 3/351 歳の男性。口渇、多飲および全身倦怠感を主訴に来院した。現病歴：1 か月前から口渇が出現し、清涼飲料水を多飲している。2 週前から全身倦怠感を自
endo,endo_ch09_q444,115F-72,328,586,55%,Y,連問 1/342 歳の男性。職場の健康診断で異常を指摘されて来院した。現病歴：20 歳代の頃は体重68kg 程度であったが、32 歳での結婚を機に徐々に増加し、
endo,endo_ch09_q445,115F-73,354,667,53%,Y,連問 2/342 歳の男性。職場の健康診断で異常を指摘されて来院した。現病歴：20 歳代の頃は体重68kg 程度であったが、32 歳での結婚を機に徐々に増加し、
endo,endo_ch09_q446,115F-74,335,573,58%,Y,連問 3/342 歳の男性。職場の健康診断で異常を指摘されて来院した。現病歴：20 歳代の頃は体重68kg 程度であったが、32 歳での結婚を機に徐々に増加し、
endo,endo_ch10_q480,110F-26,287,544,52%,Y,連問 1/2次の文を読み、480 と481 の問いに答えよ。89 歳の女性。左膝の痛みを主訴に来院した。現病歴：3 日前から左膝の痛みと38℃の発熱が出現した。
endo,endo_ch10_q481,110F-27,299,545,54%,Y,連問 2/2次の文を読み、480 と481 の問いに答えよ。89 歳の女性。左膝の痛みを主訴に来院した。現病歴：3 日前から左膝の痛みと38℃の発熱が出現した。
endo,endo_ch10_q488,118E-49,297,687,43%,Y,連問 1/2次の文を読み、488 と489 の問いに答えよ。42 歳の男性。右足関節痛を主訴に来院した。現病歴：昨夕から右足関節の違和感を自覚し、深夜に同部の痛
endo,endo_ch10_q489,118E-50,317,694,45%,Y,連問 2/2次の文を読み、488 と489 の問いに答えよ。42 歳の男性。右足関節痛を主訴に来院した。現病歴：昨夕から右足関節の違和感を自覚し、深夜に同部の痛
resp,resp_ch01_q35,115F-63,307,959,32%,Y,連問 1/383 歳の男性。食欲が低下し元気がないため妻とともに来院した。現病歴：約5 年前から物忘れが目立ち、Alzheimer 型認知症と診断されていた。1
resp,resp_ch01_q36,115F-64,463,1115,41%,Y,連問 2/383 歳の男性。食欲が低下し元気がないため妻とともに来院した。現病歴：約5 年前から物忘れが目立ち、Alzheimer 型認知症と診断されていた。1
resp,resp_ch01_q37,115F-65,392,1044,37%,Y,連問 3/383 歳の男性。食欲が低下し元気がないため妻とともに来院した。現病歴：約5 年前から物忘れが目立ち、Alzheimer 型認知症と診断されていた。1
resp,resp_ch02_q92,116E-41,317,678,46%,Y,連問 1/2次の文を読み、92 と93 の問いに答えよ。83 歳の男性。呼吸困難を主訴に救急外来を受診した。現病歴：6 年前から呼吸器疾患で入退院を繰り返してお
resp,resp_ch02_q93,116E-42,330,691,47%,Y,連問 2/2次の文を読み、92 と93 の問いに答えよ。83 歳の男性。呼吸困難を主訴に救急外来を受診した。現病歴：6 年前から呼吸器疾患で入退院を繰り返してお
resp,resp_ch03_q111,120F-61,316,602,52%,Y,連問 1/380 歳の男性。労作時の息切れを主訴に来院した。現病歴：3 年前から労作時に息切れを自覚していた。6 か月前から咳、痰が出現し、1 か月前から坂道や
resp,resp_ch03_q112,120F-62,343,686,50%,Y,連問 2/380 歳の男性。労作時の息切れを主訴に来院した。現病歴：3 年前から労作時に息切れを自覚していた。6 か月前から咳、痰が出現し、1 か月前から坂道や
resp,resp_ch03_q113,120F-63,409,695,58%,Y,連問 3/380 歳の男性。労作時の息切れを主訴に来院した。現病歴：3 年前から労作時に息切れを自覚していた。6 か月前から咳、痰が出現し、1 か月前から坂道や
resp,resp_ch03_q116,119E-47,345,952,36%,Y,連問 1/2次の文を読み、116 と117 の問いに答えよ。75 歳の女性。呼吸困難を主訴に救急車で搬入された。現病歴：8 年前に認知症と診断され、現在は直前の
resp,resp_ch03_q117,119E-48,342,950,36%,Y,連問 2/2次の文を読み、116 と117 の問いに答えよ。75 歳の女性。呼吸困難を主訴に救急車で搬入された。現病歴：8 年前に認知症と診断され、現在は直前の
resp,resp_ch03_q129,118E-47,316,503,62%,Y,連問 1/2次の文を読み、129 と130 の問いに答えよ。19 歳の女性。呼吸困難を主訴に来院した。現病歴：1 週間前から上気道炎症状があった。3 日前から喘
resp,resp_ch03_q130,118E-48,334,532,62%,Y,連問 2/2次の文を読み、129 と130 の問いに答えよ。19 歳の女性。呼吸困難を主訴に来院した。現病歴：1 週間前から上気道炎症状があった。3 日前から喘
resp,resp_ch03_q132,117C-72,349,938,37%,Y,連問 1/385 歳の男性。発熱と呼吸困難を主訴に家族とともに来院した。現病歴：1 年前から息切れのため自宅の階段を昇ることが困難となり、食事や飲水の際のむせが
resp,resp_ch03_q133,117C-73,327,916,35%,Y,連問 2/385 歳の男性。発熱と呼吸困難を主訴に家族とともに来院した。現病歴：1 年前から息切れのため自宅の階段を昇ることが困難となり、食事や飲水の際のむせが
resp,resp_ch03_q134,117C-74,419,1008,41%,Y,連問 3/385 歳の男性。発熱と呼吸困難を主訴に家族とともに来院した。現病歴：1 年前から息切れのため自宅の階段を昇ることが困難となり、食事や飲水の際のむせが
resp,resp_ch03_q135,117F-62,310,619,50%,Y,連問 1/375 歳の男性。労作時の呼吸困難を主訴に来院した。現病歴：数年前から労作時の息切れがあったが、約1 年前から階段や坂道は途中で休まないと昇れなくなっ
resp,resp_ch03_q136,117F-63,310,619,50%,Y,連問 2/375 歳の男性。労作時の呼吸困難を主訴に来院した。現病歴：数年前から労作時の息切れがあったが、約1 年前から階段や坂道は途中で休まないと昇れなくなっ
resp,resp_ch03_q137,117F-64,497,806,61%,Y,連問 3/375 歳の男性。労作時の呼吸困難を主訴に来院した。現病歴：数年前から労作時の息切れがあったが、約1 年前から階段や坂道は途中で休まないと昇れなくなっ
resp,resp_ch03_q157,110C-28,310,677,45%,Y,連問 1/2次の文を読み、157 と158 の問いに答えよ。67 歳の女性。息苦しさを主訴に来院した。現病歴：5 年前から労作時に呼吸困難を自覚していた。風邪を
resp,resp_ch03_q158,110C-29,317,684,46%,Y,連問 2/2次の文を読み、157 と158 の問いに答えよ。67 歳の女性。息苦しさを主訴に来院した。現病歴：5 年前から労作時に呼吸困難を自覚していた。風邪を
resp,resp_ch04_q174,106G-62,299,468,63%,Y,連問 1/375 歳の男性。熱感を主訴に来院した。現病歴：5 日前の田植え作業中に咳を自覚し、その後持続していた。痰は少しからむ程度であり、色は白色透明であった
resp,resp_ch04_q175,106G-63,293,462,63%,Y,連問 2/375 歳の男性。熱感を主訴に来院した。現病歴：5 日前の田植え作業中に咳を自覚し、その後持続していた。痰は少しからむ程度であり、色は白色透明であった
resp,resp_ch04_q176,106G-64,347,510,68%,Y,連問 3/375 歳の男性。熱感を主訴に来院した。現病歴：5 日前の田植え作業中に咳を自覚し、その後持続していた。痰は少しからむ程度であり、色は白色透明であった
resp,resp_ch04_q207,113E-50,300,558,53%,Y,連問 1/2次の文を読み、207 と208 の問いに答えよ。79 歳の男性。咳嗽と呼吸困難を主訴に来院した。現病歴：半年前から咳嗽と労作時の息切れを自覚するよう
resp,resp_ch04_q208,113E-51,303,561,54%,Y,連問 2/2次の文を読み、207 と208 の問いに答えよ。79 歳の男性。咳嗽と呼吸困難を主訴に来院した。現病歴：半年前から咳嗽と労作時の息切れを自覚するよう
resp,resp_ch04_q217,110E-64,315,688,45%,Y,連問 1/360 歳の男性。胸部痛を主訴に来院した。現病歴：1 か月前から持続性の右胸部痛が出現した。1 週前から息切れも自覚するようになった。自宅近くの医療機
resp,resp_ch04_q218,110E-65,310,683,45%,Y,連問 2/360 歳の男性。胸部痛を主訴に来院した。現病歴：1 か月前から持続性の右胸部痛が出現した。1 週前から息切れも自覚するようになった。自宅近くの医療機
resp,resp_ch04_q219,110E-66,333,715,46%,Y,連問 3/360 歳の男性。胸部痛を主訴に来院した。現病歴：1 か月前から持続性の右胸部痛が出現した。1 週前から息切れも自覚するようになった。自宅近くの医療機
resp,resp_ch05_q260,117F-71,424,770,55%,Y,連問 1/327 歳の女性。胸痛と呼吸困難を主訴に来院した。現病歴：昨日から右前胸部痛を自覚した。息を吸うと痛みが悪化するため、深呼吸ができなかった。本日は胸痛
resp,resp_ch05_q261,117F-72,299,645,46%,Y,連問 2/327 歳の女性。胸痛と呼吸困難を主訴に来院した。現病歴：昨日から右前胸部痛を自覚した。息を吸うと痛みが悪化するため、深呼吸ができなかった。本日は胸痛
resp,resp_ch05_q262,117F-73,310,656,47%,Y,連問 3/327 歳の女性。胸痛と呼吸困難を主訴に来院した。現病歴：昨日から右前胸部痛を自覚した。息を吸うと痛みが悪化するため、深呼吸ができなかった。本日は胸痛
resp,resp_ch05_q267,115E-41,302,969,31%,Y,連問 1/2次の文を読み、267 と268 の問いに答えよ。75 歳の男性。呼吸困難を主訴に受診した。現病歴：3 日前に飛行機で1 泊2 日の旅行をし、2 日前
resp,resp_ch05_q268,115E-42,389,1056,36%,Y,連問 2/2次の文を読み、267 と268 の問いに答えよ。75 歳の男性。呼吸困難を主訴に受診した。現病歴：3 日前に飛行機で1 泊2 日の旅行をし、2 日前
resp,resp_ch05_q272,113C-58,330,544,60%,Y,連問 2/358 歳の男性。息苦しさと左胸部痛を主訴に救急車で搬入された。現病歴：30 分前に職場でデスクワーク中、突然の息苦しさと左胸部全体の痛みが出現した。
resp,resp_ch05_q281,108E-66,323,744,43%,Y,連問 1/372 歳の女性。労作時呼吸困難を主訴に来院した。現病歴：約半年前から労作時の呼吸困難を自覚していた。当初は階段や急な坂を登る時のみであったが次第に悪
resp,resp_ch06_q310,118C-60,304,698,43%,Y,連問 1/378 歳の男性。嗄声を主訴に来院した。現病歴：1 か月前に嗄声が出現した。2 週間前から飲水時に咳嗽が出現するようになり自宅近くの診療所で鎮咳薬を処
resp,resp_ch06_q311,118C-61,441,835,52%,Y,連問 2/378 歳の男性。嗄声を主訴に来院した。現病歴：1 か月前に嗄声が出現した。2 週間前から飲水時に咳嗽が出現するようになり自宅近くの診療所で鎮咳薬を処
resp,resp_ch06_q312,118C-62,555,949,58%,Y,連問 3/378 歳の男性。嗄声を主訴に来院した。現病歴：1 か月前に嗄声が出現した。2 週間前から飲水時に咳嗽が出現するようになり自宅近くの診療所で鎮咳薬を処
resp,resp_ch06_q348,107B-55,303,770,39%,Y,連問 1/368 歳の男性。血痰を主訴に来院した。現病歴：3 か月前から咳嗽があり、時々血痰も出現していた。最近血痰の回数が増加したため来院した。既往歴：55 
resp,resp_ch06_q349,107B-56,302,769,39%,Y,連問 2/368 歳の男性。血痰を主訴に来院した。現病歴：3 か月前から咳嗽があり、時々血痰も出現していた。最近血痰の回数が増加したため来院した。既往歴：55 
resp,resp_ch06_q350,107B-57,307,770,39%,Y,連問 3/368 歳の男性。血痰を主訴に来院した。現病歴：3 か月前から咳嗽があり、時々血痰も出現していた。最近血痰の回数が増加したため来院した。既往歴：55 
resp,resp_ch06_q359,106F-28,317,773,41%,Y,連問 1/2次の文を読み、359 と360 の問いに答えよ。67 歳の男性。全身の衰弱を心配した家族に伴われて来院した。現病歴：3 か月前から徐々に体重が減少し
resp,resp_ch06_q360,106F-29,309,765,40%,Y,連問 2/2次の文を読み、359 と360 の問いに答えよ。67 歳の男性。全身の衰弱を心配した家族に伴われて来院した。現病歴：3 か月前から徐々に体重が減少し
resp,resp_ch08_q416,119C-65,310,555,55%,Y,連問 1/330 歳の男性。左前胸部痛と呼吸困難を主訴に来院した。現病歴：格闘技の選手。試合中に左前胸部を蹴られ、試合会場近くの病院を受診した。既往歴：特記すべ
resp,resp_ch08_q417,119C-66,329,735,44%,Y,連問 2/330 歳の男性。左前胸部痛と呼吸困難を主訴に来院した。現病歴：格闘技の選手。試合中に左前胸部を蹴られ、試合会場近くの病院を受診した。既往歴：特記すべ
resp,resp_ch08_q418,119C-67,305,550,55%,Y,連問 3/330 歳の男性。左前胸部痛と呼吸困難を主訴に来院した。現病歴：格闘技の選手。試合中に左前胸部を蹴られ、試合会場近くの病院を受診した。既往歴：特記すべ
resp,resp_ch08_q433,117B-50,325,794,40%,Y,連問 2/2次の文を読み、432 と433 の問いに答えよ。65 歳の女性。呼吸困難を主訴に来院した。現病歴：1 時間前、自転車で走行中に転倒した。左胸部を強打
resp,resp_ch08_q435,117E-48,325,477,68%,Y,連問 2/2次の文を読み、434 と435 の問いに答えよ。22 歳の男性。交通外傷のため救急車で搬入された。現病歴：高速道路で乗用車運転中にガードレールに衝突
resp,resp_ch08_q437,116E-43,311,455,68%,Y,連問 1/2次の文を読み、437 と438 の問いに答えよ。23 歳の男性。胸痛を主訴に来院した。現病歴：朝、通勤中に突然胸痛が出現した。駅のベンチで休息すると
resp,resp_ch08_q438,116E-44,313,457,68%,Y,連問 2/2次の文を読み、437 と438 の問いに答えよ。23 歳の男性。胸痛を主訴に来院した。現病歴：朝、通勤中に突然胸痛が出現した。駅のベンチで休息すると
resp,resp_ch08_q441,115E-43,303,486,62%,Y,連問 1/2次の文を読み、441 と442 の問いに答えよ。84 歳男性。発熱と左側胸部痛を主訴に来院した。現病歴：5 日前から咽頭痛と37℃前後の微熱があり、
resp,resp_ch08_q442,115E-44,296,713,41%,Y,連問 2/2次の文を読み、441 と442 の問いに答えよ。84 歳男性。発熱と左側胸部痛を主訴に来院した。現病歴：5 日前から咽頭痛と37℃前後の微熱があり、
resp,resp_ch08_q448,112E-44,312,927,33%,Y,連問 1/2次の文を読み、448 と449 の問いに答えよ。86 歳の男性。右胸部痛と食欲不振とを主訴に来院した。現病歴：10 年前からCOPD のために外来通
resp,resp_ch08_q449,112E-45,297,912,32%,Y,連問 2/2次の文を読み、448 と449 の問いに答えよ。86 歳の男性。右胸部痛と食欲不振とを主訴に来院した。現病歴：10 年前からCOPD のために外来通
resp,resp_ch08_q454,111H-37,327,766,42%,Y,連問 1/2次の文を読み、454 と455 の問いに答えよ。26 歳の男性。左胸痛と息苦しさとを主訴に来院した。現病歴：昼ごろに咳込んだ際、左胸痛が出現した。し
resp,resp_ch08_q455,111H-38,333,787,42%,Y,連問 2/2次の文を読み、454 と455 の問いに答えよ。26 歳の男性。左胸痛と息苦しさとを主訴に来院した。現病歴：昼ごろに咳込んだ際、左胸痛が出現した。し
circ,circ_ch01_q40,111H-33,316,814,38%,Y,連問 1/2次の文を読み、40 と41 の問いに答えよ。55 歳の男性。息切れと下腿の浮腫とを主訴に来院した。現病歴：約6 か月前から全身倦怠感を自覚していたが
circ,circ_ch01_q41,111H-34,341,922,36%,Y,連問 2/2次の文を読み、40 と41 の問いに答えよ。55 歳の男性。息切れと下腿の浮腫とを主訴に来院した。現病歴：約6 か月前から全身倦怠感を自覚していたが
circ,circ_ch02_q80,120E-44,318,503,63%,Y,連問 2/2次の文を読み、79 と80 の問いに答えよ。78 歳の男性。呼吸困難を主訴に救急車で搬入された。現病歴：昨日まで特に問題なく過ごしていた。深夜から急
circ,circ_ch02_q83,119E-43,319,849,37%,Y,連問 1/2次の文を読み、83 と84 の問いに答えよ。74 歳の女性。感冒様症状を主訴に来院した。現病歴：現在、医療機関に通院していない。2 週間前から、微熱
circ,circ_ch02_q100,113F-74,318,880,36%,Y,連問 1/370 歳の男性。労作時の息切れを主訴に来院した。現病歴：4 年前に縦隔腫瘍に対し摘出手術が施行され、病理検査で軟部肉腫と診断された。2 年前に肺転移
circ,circ_ch02_q101,113F-75,343,878,39%,Y,連問 2/370 歳の男性。労作時の息切れを主訴に来院した。現病歴：4 年前に縦隔腫瘍に対し摘出手術が施行され、病理検査で軟部肉腫と診断された。2 年前に肺転移
circ,circ_ch02_q102,113F-76,320,893,35%,Y,連問 3/370 歳の男性。労作時の息切れを主訴に来院した。現病歴：4 年前に縦隔腫瘍に対し摘出手術が施行され、病理検査で軟部肉腫と診断された。2 年前に肺転移
circ,circ_ch02_q106,110G-66,257,1179,21%,Y,連問 1/378 歳の男性。呼吸困難と下腿浮腫とを主訴に来院した。現病歴：心不全、心筋梗塞および高血圧症にて自宅近くの診療所に通院中であった。2 か月前から階段
circ,circ_ch02_q107,110G-67,256,1366,18%,Y,連問 2/378 歳の男性。呼吸困難と下腿浮腫とを主訴に来院した。現病歴：心不全、心筋梗塞および高血圧症にて自宅近くの診療所に通院中であった。2 か月前から階段
circ,circ_ch02_q108,110G-68,270,1285,21%,Y,連問 3/378 歳の男性。呼吸困難と下腿浮腫とを主訴に来院した。現病歴：心不全、心筋梗塞および高血圧症にて自宅近くの診療所に通院中であった。2 か月前から階段
circ,circ_ch02_q122,105H-31,310,693,44%,Y,連問 1/2次の文を読み、122 と123 の問いに答えよ。64 歳の男性。労作時の息切れを主訴に来院した。現病歴：半年前から立ち仕事で疲れやすくなったが、年の
circ,circ_ch02_q123,105H-32,326,720,45%,Y,連問 2/2次の文を読み、122 と123 の問いに答えよ。64 歳の男性。労作時の息切れを主訴に来院した。現病歴：半年前から立ち仕事で疲れやすくなったが、年の
circ,circ_ch03_q133,119F-69,313,557,56%,Y,連問 1/360 歳の男性。激しい胸痛と息苦しさを主訴に救急車で搬入された。現病歴：7 日前から10 分程度の平地歩行で前胸部の絞扼感と息苦しさとを自覚していた
circ,circ_ch03_q134,119F-70,343,600,57%,Y,連問 2/360 歳の男性。激しい胸痛と息苦しさを主訴に救急車で搬入された。現病歴：7 日前から10 分程度の平地歩行で前胸部の絞扼感と息苦しさとを自覚していた
circ,circ_ch03_q135,119F-71,67,629,10%,Y,（連問）洞調律復帰後、カテーテル室で平均血圧60mmHg維持困難・心拍数120/分以上・不穏状態。次に行う治療として適切なのはどれか。
circ,circ_ch03_q138,118F-73,66,254,25%,Y,研修医、指導医および看護師の3 人が救急外来で夜間勤務をしていた。研修医が初期対応をおこなった。研修医が最も優先すべき対応はどれか。
circ,circ_ch03_q139,118F-74,285,678,42%,Y,連問 2/370 歳の男性。激しい胸痛のため家族に伴われて救急車で搬入された。現　症：意識レベルはJCSⅡ-10。心拍数104/ 分、整。血圧68mmHg（触診
circ,circ_ch03_q147,111C-30,334,776,43%,Y,連問 1/2次の文を読み、147 と148 の問いに答えよ。74 歳の男性。胃癌の治療で入院中に胸痛の訴えがあったため当直医が呼ばれた。現病歴：3 日前から消化
circ,circ_ch03_q148,111C-31,331,773,42%,Y,連問 2/2次の文を読み、147 と148 の問いに答えよ。74 歳の男性。胃癌の治療で入院中に胸痛の訴えがあったため当直医が呼ばれた。現病歴：3 日前から消化
